link,name
/products/redmi-note-13-pro-12gb-512gb,Redmi Note 13 Pro (12GB-512GB)
/products/redmi-note-13-pro-8gb-256gb,Redmi Note 13 Pro (8GB-256GB)
/products/redmi-note-13,Redmi Note 13 (8GB-256GB)
/products/redmi-note-13-pro-5g,Redmi Note 13 PRO + 5G    (12GB-512GB)
/products/redmi-12,Redmi 12
/products/poco-m6-pro,Poco M6 Pro
/products/redmi-a1-plus,Redmi A1+
/products/redmi-13c,Redmi 13C
/products/redmi-a2,Redmi A2+
/products/xiaomi-13t,Xiaomi 13T
/products/redmi-note-12-8gb-128gb,Redmi Note 12 (8GB - 128GB)
/products/poco-c65,POCO C65 (8GB-256GB)
/products/poco-x-6-pro-5g,POCO X 6 Pro 5G
/products/redmi-note-12-8gb-256gb,Redmi Note 12 (8GB - 256GB)
/products/redmi-note-12-pro,Redmi Note 12 Pro
/products/redmi-12c,Redmi 12C (4GB - 128GB)
/products/xiaomi-13t-pro,Xiaomi 13T Pro
/products/redmi-12-mi-lcd-writing-tablet,Redmi 12 + Mi LCD Writing Tablet 13.5''
/products/redmi-note-12,Redmi Note 12 (6GB - 128GB)
/products/redmi-10c,Redmi 10C
/products/redmi-10a-3gb-64gb-free-piston-basic,Redmi 10A (3GB - 64GB)
/products/redmi-10a,Redmi 10A (4GB - 128GB)
/products/redmi-note-11,Redmi Note 11 (6GB-128GB)
/products/redmi-note-11-4gb-128gb,Redmi Note 11 (4GB-128GB)
/products/redmi-9c-4gb-128gb,Redmi 9C (4GB - 128GB)
/products/poco-m4-pro-8gb-256gb,POCO M4 Pro (8GB - 256GB)
/products/xiaomi-12-12gb-256gb,Xiaomi 12 (12GB - 256GB)
/products/xiaomi-12-pro-12gb-256gb,Xiaomi 12 Pro (12GB - 256GB)
/products/mi-11t-pro-12gb-256gb,Xiaomi 11T Pro (12GB-256GB)
/products/redmi-note-11-pro-6gb-128gb,Redmi Note 11 Pro (6GB - 128GB)
/products/poco-f3-8gb-256gb,POCO F3 (8GB - 256GB)
/products/xiaomi-11-t,Xiaomi 11T (8GB-128GB)
/products/mi-11t-8gb-256gb,Xiaomi 11T (8GB-256GB)
/products/poco-x3-gt-8gb-128gb,POCO X3 GT (8GB - 128GB)
/products/copy-of-poco-x3-gt-8gb-256gb,POCO X3 GT (8GB - 256GB)
/products/redmi-10-4gb-128gb,Redmi 10 (4GB - 128GB)
/products/redmi-10-6gb-128gb,Redmi 10 (6GB - 128GB)
/products/mi-eleven,Mi 11 Price in Pakistan
/products/redmi-note-10-pro-6gb-128gb,Redmi Note 10 Pro (6GB - 128GB)
/products/redmi-note-10s-6gb-128gb,Redmi Note 10S (6GB - 128GB)
/products/redmi-note-10s-8gb-128gb,Redmi Note 10S (8GB - 128GB)
/products/poco-f3-6gb-128gb,POCO F3 (6GB - 128GB)
/products/redmi-note-10-5g-4gb-128gb,Redmi Note 10 5G (4GB - 128GB)
/products/redmi-note-10-5g-6gb-128gb,Redmi Note 10 5G (6GB - 128GB)
/products/redmi-note-10-pro,Redmi Note 10 Pro (8GB - 128GB)
/products/poco-x3-pro,POCO X3 Pro (6GB - 128GB)
/products/poco-x3-pro-8gb-256gb,POCO X3 Pro (8GB - 256GB)
/products/mi-11-lite,Mi 11 Lite
/products/redmi-note-10,Redmi Note 10
/products/poco-m3,POCO M3
