type,link,name
mobile,/pk/12,OnePlus 12
mobile,/pk/12r,OnePlus 12R
mobile,/pk/11,OnePlus 11 5G
mobile,/pk/nord-3-5g,OnePlus Nord 3 5G
mobile,/pk/n30-se,OnePlus Nord N30 SE 5G
mobile,/pk/nord-ce-3-lite-5g,OnePlus Nord CE 3 Lite 5G
mobile,/pk/n20-se,OnePlus Nord N20 SE
mobile,/pk/10t,OnePlus 10T 5G
mobile,/pk/10-pro,OnePlus 10 Pro 5G
mobile,/pk/nord-2t-5g,OnePlus Nord 2T 5G
mobile,/pk/nord-ce-2-lite-5g,OnePlus Nord CE 2 Lite 5G
mobile,/pk/9,OnePlus 9
mobile,/pk/8t,OnePlus 8T
mobile,/pk/8-pro,OnePlus 8 Pro
mobile,/pk/8,OnePlus 8
mobile,/pk/n10-5g,OnePlus Nord N10 5G
mobile,/pk/n100,OnePlus Nord N100
audio,/pk/oneplus-buds-3,OnePlus Buds 3
audio,/pk/oneplus-nord-buds-2r,OnePlus Nord Buds 2r
audio,/pk/oneplus-nord-buds-2,OnePlus Nord Buds 2
audio,/pk/oneplus-buds-pro-2,OnePlus Buds Pro 2
audio,/pk/oneplus-buds-z2,OnePlus Buds Z2
audio,/pk/oneplus-nord-buds,OnePlus Nord Buds
audio,/pk/oneplus-buds-pro,OnePlus Buds Pro
audio,/pk/oneplus-bullets-wireless-z2,OnePlus Bullets Wireless Z2
